journey_id,person,start,destination,date
1,Celestia Webster,Webster Farm Main,Aunt Zerviah's House,01/11/1866
2,"Celestia Webster and Caroline ""Carrie"" Webster",Webster Farm Main,Aunt Zerviah's House,01/23/1866
3,Mother Webster,Webster Farm Main,Aunt Zerviah's House,03/30/1866
4,Sue Webster,Webster Farm Main,Aunt Zerviah's House,04/04/1866
5,"Aunt Zerviah, Mrs. Johnson, and Jennie Webster",Aunt Zerviah's House,Webster Farm Main,02/28/1867
6,"Aunt Zerviah, Celestia ""Lettie"" Hayward, Alice ""Allie"" Hayward",Aunt Zerviah's House,Webster Farm Main,03/20/1867
7,"Caroline ""Carrie"" Webster and Florence Webster",Webster Farm Main,Aunt Zerviah's House,05/14/1867
8,Aunt Zerviah and Louise Hayward,Aunt Zerviah's House,Webster Farm Main,05/28/1867
9,Celestia Webster,Webster Farm Main,Aunt Zerviah's House,08/04/1867
10,Mother Webster,Webster Farm Main,Aunt Zerviah's House,10/16/1867
11,"Everyone in the Webster family with the exception of Celestia, Mother, and Elizabeth ""Lib"" Webster",Webster Farm Main,Aunt Zerviah's House,11/13/1867
12,Mother Webster and Lawrence Webster,Webster Farm Main,Aunt Zerviah's House,12/16/1867
13,"""Lawrence and the girls"" (Celestia's sisters - see Webster Family) attend a Social gathering ",Webster Farm Main,Aunt Zerviah's House,12/18/1867